"ID","OWNERID","ISDELETED","NAME","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","LASTVIEWEDDATE","LASTREFERENCEDDATE","AGE_RANGE__C","CODELIST__C","CODE__C","CATEGORY__C","CONTENT__C","DATA_TYPE__C","DESCRIBE_FIELD__C","FILE_NAME__C","FIELD__C","FORM__C","GENDER_REQUIRED__C","GENDER__C","LONGLABEL__C","LONG_DESCRIPTION__C","NOTE__C","NUMBER__C","OBJECT__C","PAGE__C","PERCENTILE__C","QUESTION_FIELD__C","RAW_SCORE__C","SOURCE_FORM__C","SCALE_NUMBER__C","SCALE__C","SECTION__C","SIG_RANGE__C","SYMPTOM__C","T_SCORE__C","TYPE__C","VARIABLE_LABEL__C","VARIABLE_NAME__C","VARIABLE_TYPE__C","VARIABLE_VALUE__C","VARIABLE__C","WEIGHT__C","VARIABLE_NUMBER__C"
"a0855000001Cwo2AAC","005i0000001QIixAAG","false","DS DATA - 7893365","2016-04-22T16:17:51.000Z","005i0000001QIixAAG","2016-04-22T16:17:51.000Z","005i0000001QIixAAG","2016-04-22T16:17:51.000Z","","","","","","","I am on the lookout for danger or things that I am afraid of (like looking over my shoulder even when nothing is there).","DS_PTSD_Form_Info","","BASELINE","PTSV1","DS_PTSD_CA","false","","","","","1.0","DS_PTSD_CA_B","","","","","","","","false","","E3","","Children / Adolescents","","","","","","",""
"a0855000001Cwo3AAC","005i0000001QIixAAG","false","DS DATA - 7893366","2016-04-22T16:17:51.000Z","005i0000001QIixAAG","2016-04-22T16:17:51.000Z","005i0000001QIixAAG","2016-04-22T16:17:51.000Z","","","","","","","I don't feel like doing things with my family or friends or other things that I liked to do.","DS_PTSD_Form_Info","","BASELINE","PTSV7","DS_PTSD_CA","false","","","","","7.0","DS_PTSD_CA_B","","","","","","","","false","","D5","","Children / Adolescents","","","","","","",""
"a0855000001Cwo4AAC","005i0000001QIixAAG","false","DS DATA - 7893367","2016-04-22T16:17:51.000Z","005i0000001QIixAAG","2016-04-22T16:17:51.000Z","005i0000001QIixAAG","2016-04-22T16:17:51.000Z","","","","","","","I have thoughts like, ""I am bad.""","DS_PTSD_Form_Info","","BASELINE","PTSV2","DS_PTSD_CA","false","","","","","2.0","DS_PTSD_CA_B","","","","","","","","false","","D2","","Children / Adolescents","","","","","","",""
"a0855000001Cwo5AAC","005i0000001QIixAAG","false","DS DATA - 7893368","2016-04-22T16:17:51.000Z","005i0000001QIixAAG","2016-04-22T16:17:51.000Z","005i0000001QIixAAG","2016-04-22T16:17:51.000Z","","","","","","","I try to stay away from people, places or things that remind me about what happened.","DS_PTSD_Form_Info","","BASELINE","PTSV3","DS_PTSD_CA","false","","","","","3.0","DS_PTSD_CA_B","","","","","","","","false","","C2","","Children / Adolescents","","","","","","",""
"a0855000001Cwo6AAC","005i0000001QIixAAG","false","DS DATA - 7893369","2016-04-22T16:17:51.000Z","005i0000001QIixAAG","2016-04-22T16:17:51.000Z","005i0000001QIixAAG","2016-04-22T16:17:51.000Z","","","","","","","I get upset easily or get into arguments or physical fights.","DS_PTSD_Form_Info","","BASELINE","PTSV4","DS_PTSD_CA","false","","","","","4.0","DS_PTSD_CA_B","","","","","","","","false","","E1","","Children / Adolescents","","","","","","",""
"a0855000001Cwo7AAC","005i0000001QIixAAG","false","DS DATA - 7893370","2016-04-22T16:17:51.000Z","005i0000001QIixAAG","2016-04-22T16:17:51.000Z","005i0000001QIixAAG","2016-04-22T16:17:51.000Z","","","","","","","I feel like I am back at the time when the bad thing happened, like it's happening all over again.","DS_PTSD_Form_Info","","BASELINE","PTSV5","DS_PTSD_CA","false","","","","","5.0","DS_PTSD_CA_B","","","","","","","","false","","B3","","Children / Adolescents","","","","","","",""
"a0855000001Cwo8AAC","005i0000001QIixAAG","false","DS DATA - 7893371","2016-04-22T16:17:51.000Z","005i0000001QIixAAG","2016-04-22T16:17:51.000Z","005i0000001QIixAAG","2016-04-22T16:17:51.000Z","","","","","","","I feel like what happened was sickening or gross.","DS_PTSD_Form_Info","","BASELINE","PTSV6","DS_PTSD_CA","false","","","","","6.0","DS_PTSD_CA_B","","","","","","","","false","","D4","","Children / Adolescents","","","","","","",""
"a0855000001Cwo9AAC","005i0000001QIixAAG","false","DS DATA - 7893372","2016-04-22T16:17:51.000Z","005i0000001QIixAAG","2016-04-22T16:17:51.000Z","005i0000001QIixAAG","2016-04-22T16:17:51.000Z","","","","","","","I have trouble concentrating or paying attention.","DS_PTSD_Form_Info","","BASELINE","PTSV8","DS_PTSD_CA","false","","","","","8.0","DS_PTSD_CA_B","","","","","","","","false","","E5","","Children / Adolescents","","","","","","",""
"a0855000001CwoAAAS","005i0000001QIixAAG","false","DS DATA - 7893373","2016-04-22T16:17:51.000Z","005i0000001QIixAAG","2016-04-22T16:17:51.000Z","005i0000001QIixAAG","2016-04-22T16:17:51.000Z","","","","","","","I have thoughts like, ""The world is really dangerous.""","DS_PTSD_Form_Info","","BASELINE","PTSV9","DS_PTSD_CA","false","","","","","9.0","DS_PTSD_CA_B","","","","","","","","false","","D2","","Children / Adolescents","","","","","","",""
"a0855000001CwoBAAS","005i0000001QIixAAG","false","DS DATA - 7893374","2016-04-22T16:17:51.000Z","005i0000001QIixAAG","2016-04-22T16:17:51.000Z","005i0000001QIixAAG","2016-04-22T16:17:51.000Z","","","","","","","I have bad dreams about what happened, or other bad dreams.","DS_PTSD_Form_Info","","BASELINE","PTSV10","DS_PTSD_CA","false","","","","","10.0","DS_PTSD_CA_B","","","","","","","","false","","B2","","Children / Adolescents","","","","","","",""
